transaction_id,account_id,transaction_type,merchant_name,transaction_amount,transaction_status,transaction_timestamp,decline_reason
TXN00000022,ACC0000399,PURCHASE,Ola,24638.23,APPROVED,2026-07-08 11:11:48.036829,
TXN00000023,ACC0000420,PURCHASE,Jio Recharge,50058.79,APPROVED,2026-05-07 01:10:48.036829,
TXN00000024,ACC0000135,DEPOSIT,Jio Recharge,47044.44,APPROVED,2026-07-07 12:39:48.036829,
TXN00000025,ACC0000410,DEPOSIT,Uber,16945.29,APPROVED,2026-06-30 05:09:48.036829,
TXN00000026,ACC0000501,TRANSFER,Jio Recharge,25452.22,APPROVED,2026-05-30 11:26:48.036829,
TXN00000027,ACC0000279,PURCHASE,Ola,67310.69,APPROVED,2026-07-09 16:41:48.036829,
TXN00000028,CARD000050,PURCHASE,Reliance Digital,49481.41,APPROVED,2026-05-28 15:26:48.036829,
TXN00000029,ACC0000477,PAYMENT,Nykaa,66541.71,DECLINED,2026-06-12 01:42:48.036829,INSUFFICIENT_FUNDS
TXN00000030,CARD000073,PURCHASE,Nykaa,36948.45,APPROVED,2026-07-06 09:28:48.036829,
TXN00000031,CARD000202,PURCHASE,Croma,46795.15,APPROVED,2026-07-23 21:13:48.036829,
TXN00000032,CARD000121,PURCHASE,Tata CLiQ,39341.07,APPROVED,2026-05-30 21:07:48.036829,
TXN00000033,CARD000176,PURCHASE,IRCTC,65716.04,APPROVED,2026-05-17 23:13:48.036829,
TXN00000034,CARD000244,PURCHASE,Nykaa,72308.05,APPROVED,2026-04-20 13:04:48.036829,
TXN00000035,CARD000148,PURCHASE,Reliance Digital,63085.05,APPROVED,2026-04-18 04:22:48.036829,
TXN00000036,ACC0000385,DEPOSIT,DMart,62623.53,APPROVED,2026-07-03 18:52:48.036829,
TXN00000037,ACC0000147,TRANSFER,Uber,46316.8,DECLINED,2026-04-08 09:29:48.036829,SUSPECTED_FRAUD
TXN00000038,ACC0000148,DEPOSIT,Zomato,20075.56,APPROVED,2026-07-14 22:58:48.036829,
TXN00000039,CARD000078,PURCHASE,Reliance Digital,47666.41,DECLINED,2026-06-20 07:16:48.036829,INCORRECT_CVV
TXN00000040,CARD000001,PURCHASE,Myntra,44726.6,APPROVED,2026-07-02 15:43:48.036829,
TXN00000041,ACC0000366,PURCHASE,DMart,14136.45,APPROVED,2026-04-11 18:46:48.036829,
TXN00000042,ACC0000547,PAYMENT,Reliance Digital,66896.07,APPROVED,2026-04-16 21:53:48.036829,
TXN00000043,ACC0000384,TRANSFER,IRCTC,69728.06,APPROVED,2026-04-13 01:07:48.036829,
TXN00000044,ACC0000132,TRANSFER,Croma,35507.12,DECLINED,2026-05-18 12:23:48.036829,ACCOUNT_FROZEN
TXN00000045,CARD000141,PURCHASE,Jio Recharge,16224.14,APPROVED,2026-04-07 20:54:48.036829,
TXN00000046,ACC0000459,WITHDRAWAL,Ola,42226.13,APPROVED,2026-05-14 18:43:48.036829,
TXN00000047,CARD000067,PURCHASE,DMart,18912.12,APPROVED,2026-06-17 20:22:48.036829,
TXN00000048,CARD000265,PURCHASE,Reliance Digital,50708.94,PENDING,2026-05-23 07:54:48.036829,
TXN00000049,CARD000175,PURCHASE,Swiggy,68058.63,DECLINED,2026-05-25 01:30:48.036829,SUSPECTED_FRAUD
TXN00000050,ACC0000469,DEPOSIT,Jio Recharge,53531.65,APPROVED,2026-06-27 13:18:48.036829,
TXN00000051,ACC0000164,TRANSFER,BigBasket,17359.12,APPROVED,2026-06-19 12:17:48.036829,
TXN00000052,ACC0000464,DEPOSIT,Nykaa,42532.49,DECLINED,2026-06-01 00:22:48.036829,SUSPECTED_FRAUD
TXN00000053,CARD000003,PURCHASE,Jio Recharge,56087.36,DECLINED,2026-05-06 06:19:48.036829,INCORRECT_CVV
TXN00000054,ACC0000326,PAYMENT,Nykaa,49515.44,APPROVED,2026-06-02 10:16:48.036829,
TXN00000055,CARD000177,PURCHASE,Apollo Pharmacy,66148.83,APPROVED,2026-03-28 09:14:48.036829,
TXN00000056,CARD000206,PURCHASE,Nykaa,2144.94,APPROVED,2026-04-27 13:03:48.036829,
TXN00000057,CARD000195,PURCHASE,Myntra,56449.43,APPROVED,2026-04-09 22:40:48.036829,
TXN00000058,ACC0000481,WITHDRAWAL,BigBasket,54019.48,APPROVED,2026-04-29 20:26:48.036829,
TXN00000059,ACC0000120,DEPOSIT,Amazon India,48018.1,APPROVED,2026-07-09 17:57:48.036829,
TXN00000060,CARD000235,PURCHASE,Zomato,20195.14,APPROVED,2026-04-08 14:38:48.036829,
TXN00000061,ACC0000247,DEPOSIT,MakeMyTrip,5083.87,APPROVED,2026-07-20 19:53:48.036829,
TXN00000062,CARD000070,PURCHASE,Jio Recharge,5316.0,APPROVED,2026-05-14 02:37:48.036829,
TXN00000063,ACC0000391,WITHDRAWAL,Myntra,65955.81,APPROVED,2026-04-15 14:52:48.036829,
TXN00000064,ACC0000400,DEPOSIT,Reliance Digital,38247.59,APPROVED,2026-05-06 07:19:48.036829,
TXN00000065,CARD000259,PURCHASE,Jio Recharge,40827.24,APPROVED,2026-05-14 02:42:48.036829,
TXN00000066,ACC0000552,PAYMENT,Apollo Pharmacy,71832.17,APPROVED,2026-07-01 07:35:48.036829,
TXN00000067,ACC0000049,DEPOSIT,Amazon India,64105.88,APPROVED,2026-06-20 01:55:48.036829,
TXN00000068,CARD000181,PURCHASE,Croma,62619.13,APPROVED,2026-06-08 02:13:48.036829,
TXN00000069,ACC0000489,PAYMENT,IRCTC,25592.58,DECLINED,2026-05-09 11:09:48.036829,INSUFFICIENT_FUNDS
TXN00000070,ACC0000227,TRANSFER,Flipkart,11307.03,APPROVED,2026-06-28 03:35:48.036829,
TXN00000071,CARD000043,PURCHASE,MakeMyTrip,50584.61,DECLINED,2026-06-14 16:09:48.036829,CARD_BLOCKED
TXN00000072,CARD000271,PURCHASE,IRCTC,56007.43,DECLINED,2026-05-28 00:16:48.036829,MERCHANT_NOT_SUPPORTED
TXN00000073,ACC0000198,PURCHASE,Apollo Pharmacy,47604.06,APPROVED,2026-04-07 19:44:48.036829,
TXN00000074,ACC0000166,TRANSFER,Jio Recharge,10354.92,APPROVED,2026-05-26 16:27:48.036829,
TXN00000075,CARD000227,PURCHASE,BigBasket,74345.82,APPROVED,2026-05-19 18:00:48.036829,
TXN00000076,CARD000131,PURCHASE,BigBasket,7748.03,APPROVED,2026-06-05 04:17:48.036829,
TXN00000077,CARD000208,PURCHASE,Flipkart,53228.82,APPROVED,2026-07-18 06:28:48.036829,
TXN00000078,CARD000011,PURCHASE,Myntra,59714.29,APPROVED,2026-05-12 06:38:48.036829,
TXN00000079,ACC0000234,DEPOSIT,DMart,1922.31,APPROVED,2026-06-20 20:05:48.036829,
TXN00000080,CARD000270,PURCHASE,Amazon India,43331.71,APPROVED,2026-07-07 00:59:48.036829,
TXN00000081,ACC0000365,PURCHASE,Tata CLiQ,47396.43,APPROVED,2026-07-20 23:27:48.036829,
TXN00000082,CARD000023,PURCHASE,Zomato,19608.01,APPROVED,2026-06-29 06:23:48.036829,
TXN00000083,CARD000232,PURCHASE,IRCTC,30150.05,APPROVED,2026-06-13 13:49:48.036829,
TXN00000084,ACC0000170,PURCHASE,Reliance Digital,62408.55,APPROVED,2026-04-25 13:22:48.036829,
TXN00000085,ACC0000252,PURCHASE,BookMyShow,46361.5,DECLINED,2026-04-04 10:15:48.036829,INSUFFICIENT_FUNDS
TXN00000086,ACC0000187,DEPOSIT,IRCTC,72926.72,APPROVED,2026-05-12 16:12:48.036829,
TXN00000087,CARD000181,PURCHASE,Reliance Digital,58754.99,APPROVED,2026-07-06 07:42:48.036829,
TXN00000088,ACC0000056,WITHDRAWAL,Swiggy,14740.13,APPROVED,2026-06-03 21:20:48.036829,
TXN00000089,CARD000199,PURCHASE,Zomato,20344.56,APPROVED,2026-07-20 10:25:48.036829,
TXN00000090,CARD000263,PURCHASE,BookMyShow,73590.86,APPROVED,2026-06-03 15:37:48.036829,
TXN00000091,ACC0000531,PURCHASE,Myntra,25362.1,APPROVED,2026-06-30 09:43:48.036829,
TXN00000092,CARD000194,PURCHASE,Amazon India,58530.94,APPROVED,2026-05-03 01:52:48.036829,
TXN00000093,ACC0000427,PURCHASE,BigBasket,59129.34,APPROVED,2026-05-31 07:49:48.036829,
TXN00000094,ACC0000363,TRANSFER,BookMyShow,23326.37,APPROVED,2026-07-24 17:08:48.036829,
TXN00000095,CARD000108,PURCHASE,Jio Recharge,179.81,APPROVED,2026-07-18 18:45:48.036829,
TXN00000096,CARD000136,PURCHASE,Swiggy,5065.12,APPROVED,2026-06-24 16:47:48.036829,
TXN00000097,CARD000258,PURCHASE,Jio Recharge,46623.24,APPROVED,2026-07-01 14:21:48.036829,
TXN00000098,ACC0000204,TRANSFER,Apollo Pharmacy,10688.24,APPROVED,2026-07-19 16:10:48.036829,
TXN00000099,ACC0000412,PURCHASE,BookMyShow,4112.42,APPROVED,2026-06-29 02:42:48.036829,
TXN00000100,CARD000038,PURCHASE,BigBasket,49120.46,DECLINED,2026-06-27 22:04:48.036829,MERCHANT_NOT_SUPPORTED
TXN00000101,ACC0000412,TRANSFER,Apollo Pharmacy,73085.23,APPROVED,2026-05-09 13:02:48.036829,
TXN00000102,ACC0000113,DEPOSIT,Amazon India,20811.24,APPROVED,2026-04-09 03:00:48.036829,
TXN00000103,CARD000037,PURCHASE,MakeMyTrip,16138.32,APPROVED,2026-07-01 08:22:48.036829,
TXN00000104,CARD000025,PURCHASE,Ola,43792.76,APPROVED,2026-06-28 08:27:48.036829,
TXN00000105,CARD000108,PURCHASE,Tata CLiQ,12856.73,APPROVED,2026-06-08 21:02:48.036829,
TXN00000106,ACC0000462,PURCHASE,DMart,31732.56,APPROVED,2026-04-03 16:37:48.036829,
TXN00000107,ACC0000069,DEPOSIT,Myntra,840.74,DECLINED,2026-04-23 11:03:48.036829,DAILY_LIMIT_EXCEEDED
TXN00000108,ACC0000303,DEPOSIT,Zomato,5105.32,APPROVED,2026-07-13 12:23:48.036829,
TXN00000109,CARD000174,PURCHASE,Jio Recharge,2749.52,DECLINED,2026-04-09 02:35:48.036829,INSUFFICIENT_CREDIT_LIMIT
TXN00000110,ACC0000057,PURCHASE,BigBasket,27566.79,APPROVED,2026-07-17 15:21:48.036829,
TXN00000111,ACC0000420,WITHDRAWAL,Reliance Digital,52786.55,APPROVED,2026-06-02 06:25:48.036829,
TXN00000112,ACC0000313,PAYMENT,Tata CLiQ,20730.51,APPROVED,2026-07-21 16:44:48.036829,
TXN00000113,ACC0000441,PAYMENT,Ola,48034.41,APPROVED,2026-04-21 16:37:48.036829,
TXN00000114,CARD000009,PURCHASE,Nykaa,9645.19,APPROVED,2026-05-16 04:04:48.036829,
TXN00000115,CARD000087,PURCHASE,IRCTC,21700.08,APPROVED,2026-04-12 05:45:48.036829,
TXN00000116,ACC0000624,WITHDRAWAL,Reliance Digital,62906.02,DECLINED,2026-04-06 03:01:48.036829,INVALID_PIN
TXN00000117,ACC0000520,DEPOSIT,Reliance Digital,12864.47,APPROVED,2026-04-02 23:49:48.036829,
TXN00000118,CARD000046,PURCHASE,Swiggy,63905.34,APPROVED,2026-04-23 05:21:48.036829,
TXN00000119,CARD000032,PURCHASE,Flipkart,24717.3,DECLINED,2026-05-22 05:52:48.036829,INCORRECT_CVV
TXN00000120,CARD000185,PURCHASE,Amazon India,42883.51,APPROVED,2026-04-15 05:56:48.036829,
TXN00000121,ACC0000104,WITHDRAWAL,Jio Recharge,29440.57,APPROVED,2026-04-23 19:27:48.036829,
TXN00000122,ACC0000285,PAYMENT,Croma,9476.65,DECLINED,2026-04-11 23:30:48.036829,INSUFFICIENT_FUNDS
TXN00000123,CARD000250,PURCHASE,Tata CLiQ,33100.04,APPROVED,2026-03-27 19:50:48.036829,
TXN00000124,ACC0000177,WITHDRAWAL,Myntra,15717.26,APPROVED,2026-06-22 10:16:48.036829,
TXN00000125,ACC0000265,PURCHASE,Apollo Pharmacy,21785.57,APPROVED,2026-07-24 21:28:48.036829,
TXN00000126,ACC0000404,PURCHASE,Tata CLiQ,32872.86,APPROVED,2026-05-01 12:46:48.036829,
TXN00000127,ACC0000358,TRANSFER,BookMyShow,52904.73,APPROVED,2026-05-15 03:48:48.036829,
TXN00000128,CARD000212,PURCHASE,Flipkart,443.97,APPROVED,2026-05-21 05:13:48.036829,
TXN00000129,ACC0000212,DEPOSIT,Apollo Pharmacy,43374.73,APPROVED,2026-07-22 16:44:48.036829,
TXN00000130,ACC0000592,PURCHASE,Flipkart,36400.54,APPROVED,2026-04-20 10:38:48.036829,
TXN00000131,CARD000278,PURCHASE,BookMyShow,58465.53,APPROVED,2026-05-24 03:21:48.036829,
TXN00000132,CARD000138,PURCHASE,DMart,66892.95,APPROVED,2026-04-06 10:04:48.036829,
TXN00000133,CARD000244,PURCHASE,Tata CLiQ,22906.65,APPROVED,2026-05-26 18:48:48.036829,
TXN00000134,CARD000083,PURCHASE,Nykaa,1838.76,PENDING,2026-06-06 15:15:48.036829,
TXN00000135,ACC0000341,PAYMENT,IRCTC,49628.27,APPROVED,2026-05-23 04:01:48.036829,
TXN00000136,ACC0000241,TRANSFER,BigBasket,16286.24,APPROVED,2026-05-11 21:57:48.036829,
TXN00000137,CARD000274,PURCHASE,MakeMyTrip,55165.63,DECLINED,2026-05-26 22:17:48.036829,CARD_BLOCKED
TXN00000138,ACC0000095,PAYMENT,Ola,177.95,APPROVED,2026-04-30 07:08:48.036829,
TXN00000139,CARD000096,PURCHASE,Flipkart,62833.27,APPROVED,2026-04-07 19:26:48.036829,
TXN00000140,CARD000280,PURCHASE,IRCTC,70986.21,APPROVED,2026-04-02 06:23:48.036829,
TXN00000141,ACC0000449,WITHDRAWAL,MakeMyTrip,52712.01,APPROVED,2026-07-22 20:54:48.036829,
TXN00000142,ACC0000397,PURCHASE,Amazon India,1138.65,APPROVED,2026-06-30 07:06:48.036829,
TXN00000143,ACC0000657,TRANSFER,Swiggy,67140.55,APPROVED,2026-04-06 06:41:48.036829,
TXN00000144,CARD000055,PURCHASE,Myntra,24937.42,APPROVED,2026-06-18 19:19:48.036829,
TXN00000145,ACC0000519,WITHDRAWAL,IRCTC,39506.2,DECLINED,2026-06-04 04:46:48.036829,DAILY_LIMIT_EXCEEDED
TXN00000146,CARD000083,PURCHASE,Tata CLiQ,6993.19,DECLINED,2026-06-30 22:34:48.036829,MERCHANT_NOT_SUPPORTED
TXN00000147,CARD000159,PURCHASE,Flipkart,29837.09,APPROVED,2026-04-23 07:40:48.036829,
TXN00000148,ACC0000373,PAYMENT,MakeMyTrip,51998.96,APPROVED,2026-07-01 16:54:48.036829,
TXN00000149,CARD000155,PURCHASE,Nykaa,8382.67,DECLINED,2026-04-05 23:12:48.036829,SUSPECTED_FRAUD
TXN00000150,ACC0000129,PURCHASE,IRCTC,47007.92,APPROVED,2026-05-18 14:54:48.036829,
TXN00000151,CARD000262,PURCHASE,Amazon India,11211.23,APPROVED,2026-06-01 06:26:48.036829,
TXN00000152,ACC0000514,DEPOSIT,Swiggy,2099.05,APPROVED,2026-06-12 15:12:48.036829,
TXN00000153,CARD000266,PURCHASE,Ola,59932.1,APPROVED,2026-06-08 22:22:48.036829,
TXN00000154,CARD000083,PURCHASE,Tata CLiQ,72525.35,APPROVED,2026-03-29 06:07:48.036829,
TXN00000155,CARD000227,PURCHASE,BigBasket,44604.2,APPROVED,2026-07-20 05:16:48.036829,
TXN00000156,ACC0000277,PURCHASE,Zomato,29289.63,APPROVED,2026-04-23 00:07:48.036829,
TXN00000157,CARD000117,PURCHASE,Nykaa,27395.51,APPROVED,2026-07-23 17:51:48.036829,
TXN00000158,CARD000020,PURCHASE,Uber,40128.85,DECLINED,2026-04-12 01:21:48.036829,INSUFFICIENT_CREDIT_LIMIT
TXN00000159,ACC0000496,PURCHASE,BigBasket,57128.92,APPROVED,2026-07-07 20:57:48.036829,
TXN00000160,ACC0000404,PAYMENT,Tata CLiQ,7441.91,APPROVED,2026-06-17 20:04:48.036829,
TXN00000161,ACC0000676,TRANSFER,DMart,14386.9,APPROVED,2026-06-09 16:56:48.036829,
TXN00000162,CARD000163,PURCHASE,BigBasket,15712.92,APPROVED,2026-04-16 08:57:48.036829,
TXN00000163,ACC0000189,PURCHASE,Flipkart,24799.2,APPROVED,2026-04-03 09:06:48.036829,
TXN00000164,CARD000241,PURCHASE,Amazon India,1243.57,APPROVED,2026-04-20 23:08:48.036829,
TXN00000165,ACC0000478,PAYMENT,BigBasket,51963.43,APPROVED,2026-06-10 01:47:48.036829,
TXN00000166,ACC0000275,PAYMENT,Tata CLiQ,5051.72,APPROVED,2026-06-13 03:46:48.036829,
TXN00000167,CARD000128,PURCHASE,Apollo Pharmacy,26206.37,APPROVED,2026-06-11 05:35:48.036829,
TXN00000168,ACC0000318,DEPOSIT,Myntra,1011.25,APPROVED,2026-05-02 00:50:48.036829,
TXN00000169,CARD000243,PURCHASE,Nykaa,65846.0,APPROVED,2026-04-14 07:13:48.036829,
TXN00000170,ACC0000056,PURCHASE,BookMyShow,48761.99,APPROVED,2026-04-27 13:11:48.036829,
TXN00000171,ACC0000337,PURCHASE,Amazon India,29547.73,APPROVED,2026-07-20 02:04:48.036829,
TXN00000172,ACC0000145,PURCHASE,DMart,58445.01,APPROVED,2026-05-03 03:00:48.036829,
TXN00000173,ACC0000215,PAYMENT,Croma,50094.33,APPROVED,2026-04-17 02:28:48.036829,
TXN00000174,CARD000212,PURCHASE,Uber,57183.19,APPROVED,2026-05-19 18:39:48.036829,
TXN00000175,CARD000248,PURCHASE,Nykaa,4470.71,APPROVED,2026-06-29 10:57:48.036829,
TXN00000176,ACC0000064,PURCHASE,Myntra,17090.09,APPROVED,2026-05-12 00:35:48.036829,
TXN00000177,ACC0000667,PURCHASE,Nykaa,71520.55,APPROVED,2026-07-05 13:11:48.036829,
TXN00000178,ACC0000150,PURCHASE,Swiggy,55534.48,APPROVED,2026-07-09 02:56:48.036829,
TXN00000179,ACC0000505,DEPOSIT,Croma,19550.34,APPROVED,2026-06-13 21:04:48.036829,
TXN00000180,ACC0000618,DEPOSIT,IRCTC,74027.41,APPROVED,2026-04-13 15:47:48.036829,
TXN00000181,ACC0000477,WITHDRAWAL,Ola,5013.18,PENDING,2026-06-30 22:55:48.036829,
TXN00000182,CARD000039,PURCHASE,IRCTC,21322.92,APPROVED,2026-05-02 14:11:48.036829,
TXN00000183,ACC0000029,PAYMENT,Ola,74887.57,APPROVED,2026-04-01 16:13:48.036829,
TXN00000184,ACC0000071,DEPOSIT,Jio Recharge,45641.81,APPROVED,2026-03-30 02:35:48.036829,
TXN00000185,ACC0000088,PURCHASE,BigBasket,59806.87,DECLINED,2026-05-03 03:03:48.036829,ACCOUNT_FROZEN
TXN00000186,CARD000092,PURCHASE,BookMyShow,44546.32,APPROVED,2026-05-01 11:06:48.036829,
TXN00000187,ACC0000144,DEPOSIT,IRCTC,10501.17,APPROVED,2026-07-16 16:15:48.036829,
TXN00000188,CARD000229,PURCHASE,Myntra,30832.73,APPROVED,2026-06-20 17:03:48.036829,
TXN00000189,ACC0000063,TRANSFER,Jio Recharge,67930.65,DECLINED,2026-04-24 10:25:48.036829,INVALID_PIN
TXN00000190,CARD000068,PURCHASE,Reliance Digital,3750.4,APPROVED,2026-04-01 23:03:48.036829,
TXN00000191,CARD000205,PURCHASE,MakeMyTrip,73524.0,APPROVED,2026-05-11 01:37:48.036829,
TXN00000192,ACC0000628,TRANSFER,Ola,45875.33,APPROVED,2026-04-04 01:19:48.036829,
TXN00000193,CARD000002,PURCHASE,Ola,15278.27,APPROVED,2026-07-09 22:02:48.036829,
TXN00000194,ACC0000272,PAYMENT,BookMyShow,59872.61,APPROVED,2026-05-07 23:39:48.036829,
TXN00000195,CARD000070,PURCHASE,Tata CLiQ,6517.26,APPROVED,2026-05-20 07:31:48.036829,
TXN00000196,CARD000162,PURCHASE,BookMyShow,74378.43,APPROVED,2026-04-07 09:16:48.036829,
TXN00000197,ACC0000528,PURCHASE,Nykaa,32422.49,APPROVED,2026-06-26 00:32:48.036829,
TXN00000198,CARD000295,PURCHASE,Swiggy,7977.45,APPROVED,2026-04-09 14:29:48.036829,
TXN00000199,CARD000232,PURCHASE,IRCTC,64443.0,APPROVED,2026-04-17 05:28:48.036829,
TXN00000200,ACC0000254,TRANSFER,Croma,54119.9,APPROVED,2026-06-23 21:05:48.036829,
TXN00000201,CARD000099,PURCHASE,Nykaa,33653.12,DECLINED,2026-04-11 17:42:48.036829,CARD_BLOCKED
TXN00000202,ACC0000466,WITHDRAWAL,IRCTC,3103.65,APPROVED,2026-04-17 11:45:48.036829,
TXN00000203,CARD000143,PURCHASE,Reliance Digital,7102.13,APPROVED,2026-07-07 07:35:48.036829,
TXN00000204,ACC0000287,TRANSFER,Flipkart,71973.4,APPROVED,2026-04-03 16:49:48.036829,
TXN00000205,CARD000014,PURCHASE,BookMyShow,18235.16,DECLINED,2026-05-22 09:59:48.036829,INSUFFICIENT_CREDIT_LIMIT
TXN00000206,ACC0000641,PURCHASE,Jio Recharge,22817.4,APPROVED,2026-05-26 17:57:48.036829,
TXN00000207,ACC0000094,PAYMENT,BookMyShow,14785.39,APPROVED,2026-06-28 22:36:48.036829,
TXN00000208,ACC0000384,DEPOSIT,Flipkart,20896.67,APPROVED,2026-06-16 15:52:48.036829,
TXN00000209,ACC0000228,TRANSFER,BookMyShow,135.04,APPROVED,2026-04-09 22:33:48.036829,
TXN00000210,CARD000163,PURCHASE,Apollo Pharmacy,50548.7,APPROVED,2026-06-14 06:18:48.036829,
TXN00000211,ACC0000325,WITHDRAWAL,Croma,4641.69,APPROVED,2026-04-12 11:39:48.036829,
TXN00000212,CARD000183,PURCHASE,Myntra,60186.78,APPROVED,2026-05-05 12:24:48.036829,
TXN00000213,ACC0000307,PAYMENT,Zomato,40581.66,APPROVED,2026-07-09 11:35:48.036829,
TXN00000214,ACC0000061,TRANSFER,Ola,62197.5,APPROVED,2026-03-29 13:33:48.036829,
TXN00000215,ACC0000372,TRANSFER,Flipkart,52180.31,APPROVED,2026-05-17 07:02:48.036829,
TXN00000216,ACC0000365,PURCHASE,Swiggy,19442.45,APPROVED,2026-05-13 10:52:48.036829,
TXN00000217,ACC0000588,PAYMENT,BigBasket,9619.59,PENDING,2026-07-13 10:59:48.036829,
TXN00000218,ACC0000227,PAYMENT,Tata CLiQ,14764.81,APPROVED,2026-05-02 01:04:48.036829,
TXN00000219,ACC0000067,WITHDRAWAL,Jio Recharge,43101.29,APPROVED,2026-06-28 20:15:48.036829,
TXN00000220,CARD000044,PURCHASE,Flipkart,16668.89,APPROVED,2026-04-18 12:35:48.036829,
TXN00000221,CARD000278,PURCHASE,Amazon India,55228.03,APPROVED,2026-05-06 11:02:48.036829,
TXN00000222,CARD000280,PURCHASE,DMart,23547.98,APPROVED,2026-05-06 23:57:48.036829,
TXN00000223,ACC0000465,PURCHASE,Reliance Digital,23236.88,DECLINED,2026-04-18 20:59:48.036829,ACCOUNT_FROZEN
TXN00000224,CARD000140,PURCHASE,Reliance Digital,13356.22,APPROVED,2026-06-20 19:28:48.036829,
TXN00000225,ACC0000099,DEPOSIT,Reliance Digital,59609.2,APPROVED,2026-04-25 00:09:48.036829,
TXN00000226,CARD000183,PURCHASE,Reliance Digital,9775.85,APPROVED,2026-06-29 08:04:48.036829,
TXN00000227,ACC0000204,WITHDRAWAL,Tata CLiQ,303.68,APPROVED,2026-04-11 05:17:48.036829,
TXN00000228,CARD000154,PURCHASE,Amazon India,71276.72,APPROVED,2026-05-27 16:48:48.036829,
TXN00000229,ACC0000181,PAYMENT,Myntra,10522.84,DECLINED,2026-05-16 07:39:48.036829,INVALID_PIN
TXN00000230,ACC0000504,PAYMENT,Zomato,44530.04,APPROVED,2026-06-14 02:46:48.036829,
TXN00000231,ACC0000138,DEPOSIT,Reliance Digital,23993.86,APPROVED,2026-06-17 09:51:48.036829,
TXN00000232,CARD000116,PURCHASE,Tata CLiQ,45076.42,APPROVED,2026-07-17 15:13:48.036829,
TXN00000233,CARD000150,PURCHASE,Myntra,71803.95,APPROVED,2026-07-11 23:08:48.036829,
TXN00000234,ACC0000627,PURCHASE,Zomato,32278.74,PENDING,2026-06-17 12:39:48.036829,
TXN00000235,ACC0000093,WITHDRAWAL,DMart,20561.1,DECLINED,2026-03-30 11:47:48.036829,INSUFFICIENT_FUNDS
TXN00000236,CARD000295,PURCHASE,Myntra,24003.26,APPROVED,2026-06-08 00:48:48.036829,
TXN00000237,ACC0000607,TRANSFER,Nykaa,2077.53,APPROVED,2026-07-26 07:50:48.036829,
TXN00000238,ACC0000483,WITHDRAWAL,Apollo Pharmacy,37024.58,APPROVED,2026-05-15 16:54:48.036829,
TXN00000239,ACC0000265,DEPOSIT,Nykaa,69477.84,APPROVED,2026-05-15 01:42:48.036829,
TXN00000240,CARD000202,PURCHASE,Ola,47193.71,APPROVED,2026-04-14 14:17:48.036829,
TXN00000241,ACC0000168,DEPOSIT,Jio Recharge,25119.29,APPROVED,2026-07-06 06:26:48.036829,
TXN00000242,CARD000234,PURCHASE,Reliance Digital,54631.31,APPROVED,2026-04-29 01:50:48.036829,
