deposit_id,customer_id,deposit_type,principal_amount,interest_rate,term_months,maturity_date,deposit_status,opened_date
DEP0000032,CUST000026,FIXED,724479.44,6.55,6,2026-05-24,ACTIVE,2025-11-23
DEP0000033,CUST000407,RECURRING,519756.62,6.23,36,2026-01-31,MATURED,2023-02-02
DEP0000034,CUST000105,FIXED,233032.91,7.46,6,2026-03-19,MATURED,2025-09-18
DEP0000035,CUST000057,RECURRING,453724.35,7.5,60,2029-09-22,MATURED,2024-09-24
DEP0000036,CUST000401,RECURRING,741185.31,6.17,18,2026-05-24,ACTIVE,2024-11-23
DEP0000037,CUST000206,FIXED,618950.64,7.59,36,2026-03-10,MATURED,2023-03-12
DEP0000038,CUST000242,FIXED,467838.06,7.31,24,2026-08-08,CLOSED,2024-08-09
DEP0000039,CUST000440,RECURRING,168585.05,5.52,18,2025-11-25,ACTIVE,2024-05-27
DEP0000040,CUST000331,RECURRING,380071.94,7.04,18,2025-03-01,ACTIVE,2023-09-01
DEP0000041,CUST000396,RECURRING,465901.13,6.51,24,2028-01-25,ACTIVE,2026-01-26
DEP0000042,CUST000498,RECURRING,379529.93,5.57,18,2024-08-27,MATURED,2023-02-27
DEP0000043,CUST000463,RECURRING,971316.29,7.01,24,2028-01-04,ACTIVE,2026-01-05
DEP0000044,CUST000021,RECURRING,441813.8,5.66,12,2024-06-01,MATURED,2023-06-03
DEP0000045,CUST000283,RECURRING,145238.6,6.43,18,2027-06-25,ACTIVE,2025-12-25
DEP0000046,CUST000140,RECURRING,377091.21,6.33,60,2031-01-30,CLOSED,2026-02-01
DEP0000047,CUST000429,RECURRING,755085.86,5.73,6,2022-03-25,ACTIVE,2021-09-24
DEP0000048,CUST000246,FIXED,778024.08,7.06,24,2027-11-21,ACTIVE,2025-11-22
DEP0000049,CUST000489,RECURRING,300228.2,6.23,12,2023-10-16,CLOSED,2022-10-17
DEP0000050,CUST000027,FIXED,883979.09,5.99,6,2026-03-19,ACTIVE,2025-09-18
DEP0000051,CUST000165,FIXED,154706.61,6.58,36,2028-03-15,ACTIVE,2025-03-17
DEP0000052,CUST000317,FIXED,683510.37,7.35,60,2029-01-27,ACTIVE,2024-01-30
DEP0000053,CUST000136,FIXED,568023.92,5.84,6,2024-10-29,ACTIVE,2024-04-30
DEP0000054,CUST000314,FIXED,138611.44,7.33,18,2025-08-31,MATURED,2024-03-02
DEP0000055,CUST000429,RECURRING,939220.13,6.44,24,2026-03-20,ACTIVE,2024-03-21
DEP0000056,CUST000218,RECURRING,519813.95,6.36,36,2024-11-14,ACTIVE,2021-11-16
DEP0000057,CUST000083,RECURRING,854577.54,5.65,24,2027-11-27,MATURED,2025-11-28
DEP0000058,CUST000419,RECURRING,384644.77,7.1,18,2025-04-30,ACTIVE,2023-10-31
DEP0000059,CUST000139,RECURRING,872831.49,6.87,6,2022-07-21,CLOSED,2022-01-20
DEP0000060,CUST000261,RECURRING,808667.71,5.95,18,2024-11-12,MATURED,2023-05-15
DEP0000061,CUST000079,RECURRING,795157.25,7.4,60,2026-12-29,ACTIVE,2021-12-31
DEP0000062,CUST000447,FIXED,172504.99,6.76,6,2024-05-09,ACTIVE,2023-11-09
DEP0000063,CUST000163,RECURRING,803179.43,6.75,24,2023-10-10,ACTIVE,2021-10-11
DEP0000064,CUST000483,FIXED,269405.23,6.16,36,2028-12-22,ACTIVE,2025-12-24
DEP0000065,CUST000216,FIXED,498214.74,6.99,18,2027-08-13,ACTIVE,2026-02-12
DEP0000066,CUST000281,RECURRING,867219.68,5.88,6,2024-03-12,CLOSED,2023-09-12
DEP0000067,CUST000189,RECURRING,919275.23,7.23,12,2024-05-03,ACTIVE,2023-05-05
DEP0000068,CUST000226,FIXED,618809.66,5.99,6,2025-04-10,ACTIVE,2024-10-10
DEP0000069,CUST000222,RECURRING,114618.44,7.33,18,2024-05-30,MATURED,2022-11-30
DEP0000070,CUST000333,FIXED,462105.94,6.34,36,2025-10-18,ACTIVE,2022-10-20
DEP0000071,CUST000208,RECURRING,295943.4,7.41,6,2022-06-16,ACTIVE,2021-12-16
DEP0000072,CUST000170,FIXED,791364.51,6.58,24,2028-03-07,ACTIVE,2026-03-09
DEP0000073,CUST000067,FIXED,462503.82,6.59,60,2029-02-02,ACTIVE,2024-02-05
DEP0000074,CUST000060,FIXED,597910.67,6.41,60,2030-04-16,ACTIVE,2025-04-18
DEP0000075,CUST000185,FIXED,781574.06,7.43,36,2025-08-07,ACTIVE,2022-08-09
DEP0000076,CUST000446,FIXED,319699.51,6.55,18,2027-03-29,ACTIVE,2025-09-28
DEP0000077,CUST000470,RECURRING,452569.57,6.82,24,2024-09-01,ACTIVE,2022-09-03
DEP0000078,CUST000228,FIXED,492965.31,6.88,24,2026-01-07,ACTIVE,2024-01-09
DEP0000079,CUST000085,FIXED,337746.72,6.54,36,2028-05-04,ACTIVE,2025-05-06
DEP0000080,CUST000248,RECURRING,919560.76,7.11,12,2023-12-31,MATURED,2023-01-01
DEP0000081,CUST000331,RECURRING,740992.18,6.46,24,2026-06-21,ACTIVE,2024-06-22
DEP0000082,CUST000037,RECURRING,679906.98,6.95,6,2023-05-10,CLOSED,2022-11-09
DEP0000083,CUST000496,FIXED,667460.1,7.38,36,2024-08-04,MATURED,2021-08-06
DEP0000084,CUST000260,FIXED,898367.92,5.58,6,2026-10-14,ACTIVE,2026-04-15
DEP0000085,CUST000154,RECURRING,414794.87,5.76,18,2027-11-03,ACTIVE,2026-05-05
DEP0000086,CUST000075,FIXED,413424.22,7.25,12,2026-05-29,ACTIVE,2025-05-30
DEP0000087,CUST000009,RECURRING,217896.97,6.45,18,2025-07-29,ACTIVE,2024-01-29
DEP0000088,CUST000463,FIXED,686330.74,7.28,24,2027-02-25,ACTIVE,2025-02-26
DEP0000089,CUST000442,RECURRING,835551.79,5.98,36,2025-09-04,ACTIVE,2022-09-06
DEP0000090,CUST000218,FIXED,741243.25,7.02,6,2026-03-31,ACTIVE,2025-09-30
DEP0000091,CUST000482,RECURRING,862417.48,7.4,18,2023-04-14,ACTIVE,2021-10-14
DEP0000092,CUST000262,RECURRING,249065.05,5.63,12,2024-02-02,ACTIVE,2023-02-03
DEP0000093,CUST000449,RECURRING,281467.68,5.85,60,2026-08-09,ACTIVE,2021-08-11
DEP0000094,CUST000223,FIXED,771820.46,6.19,60,2028-11-23,ACTIVE,2023-11-26
DEP0000095,CUST000180,RECURRING,626907.73,7.19,24,2023-11-07,ACTIVE,2021-11-08
DEP0000096,CUST000488,RECURRING,533700.1,6.25,6,2026-03-17,ACTIVE,2025-09-16
DEP0000097,CUST000209,RECURRING,241512.18,5.78,12,2026-02-20,ACTIVE,2025-02-21
DEP0000098,CUST000290,FIXED,914251.92,6.1,60,2029-02-09,ACTIVE,2024-02-12
DEP0000099,CUST000473,FIXED,888863.62,6.28,12,2024-03-08,ACTIVE,2023-03-10
DEP0000100,CUST000360,RECURRING,983575.17,5.73,24,2028-05-08,ACTIVE,2026-05-10
DEP0000101,CUST000326,FIXED,30551.66,7.47,36,2025-04-13,ACTIVE,2022-04-15
DEP0000102,CUST000279,FIXED,564323.83,6.73,24,2028-02-11,MATURED,2026-02-12
DEP0000103,CUST000019,FIXED,240885.95,6.5,24,2023-07-27,MATURED,2021-07-28
DEP0000104,CUST000459,FIXED,131578.92,6.49,18,2024-01-20,ACTIVE,2022-07-22
DEP0000105,CUST000339,FIXED,736639.13,7.27,24,2025-06-28,MATURED,2023-06-30
DEP0000106,CUST000355,FIXED,306358.3,7.1,6,2022-10-15,MATURED,2022-04-16
DEP0000107,CUST000137,FIXED,448049.07,6.64,18,2027-02-19,CLOSED,2025-08-21
DEP0000108,CUST000303,FIXED,154157.87,7.18,24,2024-07-21,ACTIVE,2022-07-23
DEP0000109,CUST000230,FIXED,124893.53,5.76,6,2023-02-25,ACTIVE,2022-08-27
DEP0000110,CUST000355,RECURRING,770362.99,6.93,36,2025-09-30,ACTIVE,2022-10-02
DEP0000111,CUST000491,RECURRING,912932.39,6.43,24,2027-03-19,ACTIVE,2025-03-20
DEP0000112,CUST000373,FIXED,780411.44,5.81,60,2029-10-29,CLOSED,2024-10-31
DEP0000113,CUST000268,RECURRING,652775.21,6.13,6,2022-06-23,ACTIVE,2021-12-23
DEP0000114,CUST000001,RECURRING,328293.68,6.27,18,2024-06-01,ACTIVE,2022-12-02
DEP0000115,CUST000107,RECURRING,155586.04,5.54,24,2024-01-11,ACTIVE,2022-01-12
DEP0000116,CUST000352,RECURRING,308445.23,6.82,12,2023-09-27,ACTIVE,2022-09-28
DEP0000117,CUST000444,RECURRING,799587.87,6.7,36,2028-03-14,MATURED,2025-03-16
DEP0000118,CUST000147,FIXED,572280.4,5.98,6,2024-09-08,ACTIVE,2024-03-10
DEP0000119,CUST000481,RECURRING,564463.43,6.62,36,2026-10-17,ACTIVE,2023-10-19
DEP0000120,CUST000251,RECURRING,911402.26,6.21,36,2028-02-20,ACTIVE,2025-02-21
DEP0000121,CUST000092,RECURRING,295380.86,5.58,18,2027-09-20,ACTIVE,2026-03-22
DEP0000122,CUST000215,FIXED,145315.38,6.96,60,2030-09-27,ACTIVE,2025-09-29
DEP0000123,CUST000499,FIXED,464942.83,5.51,24,2024-04-25,ACTIVE,2022-04-27
DEP0000124,CUST000492,RECURRING,659887.39,5.68,24,2026-02-25,CLOSED,2024-02-27
DEP0000125,CUST000496,FIXED,468453.69,6.61,36,2027-09-11,MATURED,2024-09-12
DEP0000126,CUST000419,RECURRING,904908.24,7.16,60,2029-02-13,ACTIVE,2024-02-16
DEP0000127,CUST000299,RECURRING,981416.19,5.92,6,2026-07-26,ACTIVE,2026-01-25
DEP0000128,CUST000487,FIXED,867163.6,6.22,6,2023-10-17,ACTIVE,2023-04-18
DEP0000129,CUST000240,FIXED,323651.27,6.61,18,2025-07-20,ACTIVE,2024-01-20
DEP0000130,CUST000059,FIXED,454788.25,6.7,60,2030-02-27,CLOSED,2025-03-01
DEP0000131,CUST000003,RECURRING,417288.08,7.34,6,2025-08-12,ACTIVE,2025-02-11
DEP0000132,CUST000403,RECURRING,305373.39,5.72,24,2028-03-03,MATURED,2026-03-05
DEP0000133,CUST000270,RECURRING,522889.2,6.85,60,2027-06-19,MATURED,2022-06-21
DEP0000134,CUST000029,RECURRING,153293.26,6.56,24,2023-11-05,ACTIVE,2021-11-06
DEP0000135,CUST000452,RECURRING,932879.16,6.59,36,2027-09-10,ACTIVE,2024-09-11
DEP0000136,CUST000082,RECURRING,232488.86,6.02,24,2024-04-03,ACTIVE,2022-04-05
DEP0000137,CUST000416,RECURRING,375710.67,6.72,24,2025-07-26,ACTIVE,2023-07-28
DEP0000138,CUST000392,RECURRING,778386.18,7.7,36,2028-08-28,CLOSED,2025-08-30
DEP0000139,CUST000422,FIXED,92923.83,5.93,60,2026-09-06,CLOSED,2021-09-08
DEP0000140,CUST000273,FIXED,444947.69,5.54,18,2025-10-26,ACTIVE,2024-04-27
DEP0000141,CUST000157,FIXED,347119.56,7.09,12,2026-02-12,ACTIVE,2025-02-13
DEP0000142,CUST000095,FIXED,970333.2,5.73,6,2023-02-16,ACTIVE,2022-08-18
DEP0000143,CUST000200,RECURRING,867127.4,5.56,12,2023-12-29,CLOSED,2022-12-30
DEP0000144,CUST000455,FIXED,526779.49,5.92,12,2023-03-09,ACTIVE,2022-03-10
DEP0000145,CUST000480,FIXED,688691.87,6.72,6,2026-05-15,ACTIVE,2025-11-14
DEP0000146,CUST000372,RECURRING,598769.44,7.39,18,2027-08-31,MATURED,2026-03-02
DEP0000147,CUST000357,FIXED,735807.9,6.06,24,2027-03-11,ACTIVE,2025-03-12
DEP0000148,CUST000142,RECURRING,476391.07,6.54,36,2027-04-05,ACTIVE,2024-04-06
DEP0000149,CUST000155,FIXED,965298.01,5.58,24,2026-07-18,ACTIVE,2024-07-19
DEP0000150,CUST000125,RECURRING,126130.68,6.43,6,2022-11-29,ACTIVE,2022-05-31
DEP0000151,CUST000283,RECURRING,607798.49,7.21,24,2025-09-09,ACTIVE,2023-09-11
DEP0000152,CUST000253,RECURRING,854687.35,6.62,36,2027-05-04,ACTIVE,2024-05-05
DEP0000153,CUST000119,FIXED,569784.29,5.67,24,2026-07-24,ACTIVE,2024-07-25
DEP0000154,CUST000082,RECURRING,34524.72,6.54,36,2027-03-08,MATURED,2024-03-09
DEP0000155,CUST000255,RECURRING,553655.72,5.93,18,2027-01-01,ACTIVE,2025-07-03
DEP0000156,CUST000283,FIXED,349799.27,7.6,60,2030-04-23,ACTIVE,2025-04-25
DEP0000157,CUST000336,FIXED,862676.87,7.44,18,2024-08-01,ACTIVE,2023-02-01
DEP0000158,CUST000490,RECURRING,210801.71,6.92,24,2023-11-24,MATURED,2021-11-25
DEP0000159,CUST000154,FIXED,989108.76,7.04,60,2028-08-09,ACTIVE,2023-08-12
DEP0000160,CUST000128,FIXED,179619.02,6.68,12,2026-01-07,MATURED,2025-01-08
DEP0000161,CUST000086,RECURRING,343074.98,6.82,24,2025-08-03,ACTIVE,2023-08-05
DEP0000162,CUST000089,FIXED,866666.42,5.79,12,2024-11-02,ACTIVE,2023-11-04
DEP0000163,CUST000237,RECURRING,753857.92,6.65,36,2026-05-06,MATURED,2023-05-08
DEP0000164,CUST000290,FIXED,620508.07,6.54,6,2022-10-07,ACTIVE,2022-04-08
DEP0000165,CUST000315,FIXED,119799.49,5.86,24,2023-11-12,ACTIVE,2021-11-13
DEP0000166,CUST000292,RECURRING,497621.29,6.84,12,2027-01-30,ACTIVE,2026-01-31
DEP0000167,CUST000389,RECURRING,772421.27,6.48,24,2027-08-17,ACTIVE,2025-08-18
DEP0000168,CUST000371,FIXED,895517.75,6.17,36,2026-06-01,ACTIVE,2023-06-03
DEP0000169,CUST000434,FIXED,22287.5,5.69,36,2026-11-26,ACTIVE,2023-11-28
DEP0000170,CUST000302,RECURRING,834117.99,6.73,36,2024-11-06,CLOSED,2021-11-08
DEP0000171,CUST000139,FIXED,11513.41,7.15,12,2025-06-19,ACTIVE,2024-06-20
DEP0000172,CUST000482,RECURRING,998692.67,5.64,60,2029-08-05,ACTIVE,2024-08-07
DEP0000173,CUST000053,RECURRING,853665.52,7.28,12,2025-04-21,ACTIVE,2024-04-22
DEP0000174,CUST000254,FIXED,139398.03,7.22,36,2027-05-18,ACTIVE,2024-05-19
DEP0000175,CUST000359,FIXED,454389.4,7.51,24,2024-06-16,ACTIVE,2022-06-18
DEP0000176,CUST000113,RECURRING,369851.33,6.82,36,2026-04-29,ACTIVE,2023-05-01
DEP0000177,CUST000389,RECURRING,522591.12,6.65,24,2027-03-17,ACTIVE,2025-03-18
DEP0000178,CUST000292,FIXED,67225.2,6.67,6,2022-05-24,ACTIVE,2021-11-23
DEP0000179,CUST000328,RECURRING,440162.61,6.62,12,2025-05-07,MATURED,2024-05-08
DEP0000180,CUST000042,RECURRING,757288.45,5.96,60,2027-10-11,ACTIVE,2022-10-13
DEP0000181,CUST000076,RECURRING,923112.42,7.47,18,2024-06-08,MATURED,2022-12-09
DEP0000182,CUST000489,FIXED,884672.36,6.23,24,2023-11-06,ACTIVE,2021-11-07
DEP0000183,CUST000105,RECURRING,567153.34,5.97,24,2025-05-11,MATURED,2023-05-13
DEP0000184,CUST000435,FIXED,643282.7,7.35,36,2026-02-21,CLOSED,2023-02-23
DEP0000185,CUST000269,FIXED,762740.85,6.8,6,2023-03-01,ACTIVE,2022-08-31
DEP0000186,CUST000038,FIXED,142504.09,6.34,6,2023-07-23,ACTIVE,2023-01-22
DEP0000187,CUST000425,RECURRING,812673.18,5.66,36,2024-11-01,MATURED,2021-11-03
DEP0000188,CUST000470,FIXED,252050.5,7.23,12,2023-02-05,ACTIVE,2022-02-06
DEP0000189,CUST000005,RECURRING,270191.01,7.4,18,2026-06-29,MATURED,2024-12-29
DEP0000190,CUST000025,RECURRING,817076.79,6.05,36,2028-03-12,MATURED,2025-03-14
DEP0000191,CUST000350,FIXED,605756.65,6.45,24,2025-11-12,ACTIVE,2023-11-14
DEP0000192,CUST000283,RECURRING,732252.7,6.27,6,2025-03-10,ACTIVE,2024-09-09
DEP0000193,CUST000065,RECURRING,983904.87,6.23,6,2026-08-22,ACTIVE,2026-02-21
DEP0000194,CUST000019,FIXED,843989.2,7.29,24,2025-01-19,ACTIVE,2023-01-21
DEP0000195,CUST000207,RECURRING,294913.15,7.18,12,2026-05-24,ACTIVE,2025-05-25
DEP0000196,CUST000002,RECURRING,624519.13,6.05,60,2030-12-27,ACTIVE,2025-12-29
DEP0000197,CUST000086,RECURRING,581549.67,7.05,36,2026-04-21,ACTIVE,2023-04-23
DEP0000198,CUST000041,FIXED,704463.13,6.94,18,2027-05-31,ACTIVE,2025-11-30
DEP0000199,CUST000496,FIXED,913297.73,6.24,60,2028-07-28,ACTIVE,2023-07-31
DEP0000200,CUST000287,FIXED,410494.6,5.84,18,2027-04-30,ACTIVE,2025-10-30
DEP0000201,CUST000304,FIXED,121189.37,6.88,18,2024-03-06,ACTIVE,2022-09-06
DEP0000202,CUST000068,FIXED,701579.77,7.69,18,2024-03-30,ACTIVE,2022-09-30
DEP0000203,CUST000142,FIXED,311927.4,7.14,18,2025-07-27,ACTIVE,2024-01-27
DEP0000204,CUST000364,RECURRING,755326.34,6.38,60,2027-05-31,ACTIVE,2022-06-02
DEP0000205,CUST000440,FIXED,31749.23,7.0,36,2027-07-19,MATURED,2024-07-20
DEP0000206,CUST000100,RECURRING,657547.9,6.94,60,2028-05-06,ACTIVE,2023-05-09
DEP0000207,CUST000129,FIXED,597457.07,7.68,60,2029-09-06,ACTIVE,2024-09-08
DEP0000208,CUST000493,RECURRING,531674.57,5.69,24,2025-09-29,ACTIVE,2023-10-01
DEP0000209,CUST000052,FIXED,281749.52,6.74,60,2028-02-09,ACTIVE,2023-02-11
DEP0000210,CUST000071,RECURRING,273096.33,7.27,12,2022-08-01,ACTIVE,2021-08-02
DEP0000211,CUST000154,FIXED,840610.56,5.92,24,2025-01-12,ACTIVE,2023-01-14
DEP0000212,CUST000129,FIXED,792029.73,6.82,12,2023-06-21,ACTIVE,2022-06-22
DEP0000213,CUST000487,RECURRING,342325.4,7.6,60,2027-10-21,ACTIVE,2022-10-23
DEP0000214,CUST000232,FIXED,299394.59,5.52,18,2027-12-22,ACTIVE,2026-06-23
DEP0000215,CUST000179,FIXED,869558.48,5.94,36,2027-08-20,ACTIVE,2024-08-21
DEP0000216,CUST000282,RECURRING,102050.58,7.01,12,2025-06-24,ACTIVE,2024-06-25
DEP0000217,CUST000183,FIXED,135688.46,5.56,12,2024-03-09,MATURED,2023-03-11
DEP0000218,CUST000207,FIXED,538151.09,5.92,18,2024-08-13,ACTIVE,2023-02-13
DEP0000219,CUST000054,FIXED,979830.3,7.49,12,2027-02-01,MATURED,2026-02-02
DEP0000220,CUST000317,FIXED,52548.27,6.14,24,2024-01-09,MATURED,2022-01-10
DEP0000221,CUST000353,FIXED,811012.19,6.64,18,2027-08-17,ACTIVE,2026-02-16
DEP0000222,CUST000322,FIXED,451844.77,6.93,12,2024-11-23,MATURED,2023-11-25
DEP0000223,CUST000308,RECURRING,151112.68,7.31,6,2025-01-12,ACTIVE,2024-07-14
DEP0000224,CUST000137,RECURRING,558812.48,7.16,36,2025-11-17,ACTIVE,2022-11-19
DEP0000225,CUST000123,FIXED,169304.22,5.82,24,2025-08-16,ACTIVE,2023-08-18
DEP0000226,CUST000240,FIXED,109965.19,7.19,6,2024-08-30,ACTIVE,2024-03-01
DEP0000227,CUST000479,RECURRING,929531.87,5.87,60,2031-04-17,ACTIVE,2026-04-19
DEP0000228,CUST000366,RECURRING,551048.37,5.62,24,2025-10-17,ACTIVE,2023-10-19
DEP0000229,CUST000184,FIXED,44466.57,7.73,60,2031-05-27,ACTIVE,2026-05-29
DEP0000230,CUST000476,FIXED,43736.96,7.47,60,2028-07-28,ACTIVE,2023-07-31
DEP0000231,CUST000099,FIXED,113941.85,5.92,12,2024-10-03,MATURED,2023-10-05
DEP0000232,CUST000209,RECURRING,347835.75,6.13,18,2023-04-03,MATURED,2021-10-03
DEP0000233,CUST000156,RECURRING,534066.1,7.38,18,2026-12-05,CLOSED,2025-06-06
DEP0000234,CUST000229,RECURRING,480870.31,6.87,6,2024-12-14,MATURED,2024-06-15
DEP0000235,CUST000018,RECURRING,161071.27,7.68,60,2031-01-03,ACTIVE,2026-01-05
DEP0000236,CUST000154,RECURRING,790271.88,6.07,60,2028-11-05,ACTIVE,2023-11-08
DEP0000237,CUST000060,FIXED,110294.75,5.98,36,2028-09-16,MATURED,2025-09-18
DEP0000238,CUST000286,FIXED,235882.28,5.54,36,2027-12-14,ACTIVE,2024-12-15
DEP0000239,CUST000432,FIXED,360198.83,6.22,12,2025-10-11,ACTIVE,2024-10-12
DEP0000240,CUST000414,RECURRING,781795.0,7.48,6,2026-01-23,ACTIVE,2025-07-25
DEP0000241,CUST000397,FIXED,438919.26,6.95,24,2025-02-14,MATURED,2023-02-16
DEP0000242,CUST000106,RECURRING,927866.04,6.98,36,2028-08-29,ACTIVE,2025-08-31
DEP0000243,CUST000167,RECURRING,485241.75,5.81,60,2029-07-03,ACTIVE,2024-07-05
DEP0000244,CUST000473,FIXED,86103.57,5.58,36,2025-11-12,ACTIVE,2022-11-14
DEP0000245,CUST000068,FIXED,955769.45,5.68,24,2025-08-02,ACTIVE,2023-08-04
DEP0000246,CUST000060,FIXED,512173.48,7.72,24,2026-12-08,ACTIVE,2024-12-09
DEP0000247,CUST000400,FIXED,135608.44,6.2,18,2023-07-15,CLOSED,2022-01-14
DEP0000248,CUST000407,RECURRING,218980.91,6.56,18,2026-08-18,MATURED,2025-02-17
DEP0000249,CUST000101,FIXED,647934.68,6.42,24,2026-06-18,ACTIVE,2024-06-19
DEP0000250,CUST000425,RECURRING,75024.69,5.54,12,2026-08-18,ACTIVE,2025-08-19
DEP0000251,CUST000144,FIXED,150281.0,6.29,24,2026-11-19,ACTIVE,2024-11-20
DEP0000252,CUST000280,RECURRING,599252.88,7.07,24,2028-04-28,ACTIVE,2026-04-30
DEP0000253,CUST000168,FIXED,440189.21,6.15,6,2026-03-05,ACTIVE,2025-09-04
DEP0000254,CUST000421,FIXED,844058.46,6.41,18,2023-09-22,ACTIVE,2022-03-24
DEP0000255,CUST000077,RECURRING,508688.3,6.07,36,2027-04-16,CLOSED,2024-04-17
DEP0000256,CUST000492,RECURRING,937994.07,5.77,18,2027-09-20,ACTIVE,2026-03-22
DEP0000257,CUST000303,FIXED,131008.58,6.85,12,2026-05-31,ACTIVE,2025-06-01
DEP0000258,CUST000369,FIXED,32541.25,6.11,24,2026-04-10,ACTIVE,2024-04-11
DEP0000259,CUST000447,FIXED,457468.07,7.62,60,2028-01-10,ACTIVE,2023-01-12
DEP0000260,CUST000321,RECURRING,258762.97,5.55,18,2025-09-08,ACTIVE,2024-03-10
DEP0000261,CUST000133,FIXED,977643.02,7.5,24,2024-09-26,ACTIVE,2022-09-28
DEP0000262,CUST000281,FIXED,219883.75,6.62,6,2026-07-18,MATURED,2026-01-17
DEP0000263,CUST000098,FIXED,780475.43,7.03,36,2027-09-04,ACTIVE,2024-09-05
DEP0000264,CUST000087,FIXED,513896.29,6.92,36,2027-05-19,ACTIVE,2024-05-20
DEP0000265,CUST000074,RECURRING,187486.58,7.18,60,2027-11-27,ACTIVE,2022-11-29
DEP0000266,CUST000120,FIXED,724911.03,6.96,12,2023-03-17,ACTIVE,2022-03-18
DEP0000267,CUST000482,RECURRING,458550.15,6.11,60,2028-10-22,ACTIVE,2023-10-25
DEP0000268,CUST000170,RECURRING,944677.84,7.46,24,2027-02-12,ACTIVE,2025-02-13
DEP0000269,CUST000428,RECURRING,128525.74,7.36,60,2029-05-08,CLOSED,2024-05-10
DEP0000270,CUST000451,RECURRING,994474.46,5.5,60,2026-10-05,MATURED,2021-10-07
DEP0000271,CUST000407,FIXED,139884.12,6.02,60,2031-03-11,ACTIVE,2026-03-13
DEP0000272,CUST000367,RECURRING,667842.73,7.42,12,2025-05-03,ACTIVE,2024-05-04
DEP0000273,CUST000376,FIXED,362791.18,7.18,6,2023-03-30,ACTIVE,2022-09-29
DEP0000274,CUST000125,RECURRING,962153.08,6.66,60,2031-02-19,ACTIVE,2026-02-21
DEP0000275,CUST000480,RECURRING,825190.68,7.34,36,2025-05-24,ACTIVE,2022-05-26
DEP0000276,CUST000115,RECURRING,766704.01,6.81,24,2028-04-21,ACTIVE,2026-04-23
DEP0000277,CUST000337,FIXED,169554.11,5.78,6,2026-02-27,ACTIVE,2025-08-29
