card_id,customer_id,card_type,credit_limit,outstanding_balance,available_credit,utilization_percentage,card_status,payment_due_date
CARD000063,CUST000120,VISA,50000.0,46977.6,3022.4,93.96,ACTIVE,2026-08-09
CARD000064,CUST000160,RUPAY,300000.0,109028.74,190971.26,36.34,EXPIRED,2026-08-21
CARD000065,CUST000017,MASTERCARD,100000.0,4149.37,95850.63,4.15,ACTIVE,2026-08-23
CARD000066,CUST000204,AMEX,100000.0,77104.07,22895.93,77.1,ACTIVE,2026-08-21
CARD000067,CUST000379,VISA,100000.0,87987.63,12012.37,87.99,ACTIVE,2026-08-03
CARD000068,CUST000125,VISA,500000.0,70786.72,429213.28,14.16,ACTIVE,2026-08-05
CARD000069,CUST000294,MASTERCARD,300000.0,33591.65,266408.35,11.2,ACTIVE,2026-08-15
CARD000070,CUST000018,RUPAY,300000.0,166012.42,133987.58,55.34,ACTIVE,2026-08-08
CARD000071,CUST000210,VISA,200000.0,37996.8,162003.2,19.0,ACTIVE,2026-08-18
CARD000072,CUST000424,VISA,500000.0,466849.06,33150.94,93.37,ACTIVE,2026-07-31
CARD000073,CUST000022,MASTERCARD,300000.0,270720.55,29279.45,90.24,BLOCKED,2026-08-12
CARD000074,CUST000261,VISA,150000.0,140101.03,9898.97,93.4,ACTIVE,2026-08-18
CARD000075,CUST000176,RUPAY,500000.0,406829.61,93170.39,81.37,ACTIVE,2026-07-29
CARD000076,CUST000195,MASTERCARD,50000.0,46523.8,3476.2,93.05,ACTIVE,2026-08-22
CARD000077,CUST000203,MASTERCARD,500000.0,44134.73,455865.27,8.83,ACTIVE,2026-08-21
CARD000078,CUST000260,VISA,50000.0,12943.07,37056.93,25.89,ACTIVE,2026-08-02
CARD000079,CUST000213,VISA,300000.0,53637.05,246362.95,17.88,ACTIVE,2026-08-14
CARD000080,CUST000104,VISA,500000.0,300145.94,199854.06,60.03,ACTIVE,2026-08-01
CARD000081,CUST000231,RUPAY,500000.0,231772.82,268227.18,46.35,ACTIVE,2026-08-04
CARD000082,CUST000329,RUPAY,100000.0,12385.87,87614.13,12.39,ACTIVE,2026-08-06
CARD000083,CUST000090,VISA,500000.0,77683.3,422316.7,15.54,ACTIVE,2026-08-17
CARD000084,CUST000329,AMEX,100000.0,16524.91,83475.09,16.52,ACTIVE,2026-08-02
CARD000085,CUST000065,MASTERCARD,200000.0,33683.75,166316.25,16.84,ACTIVE,2026-08-23
CARD000086,CUST000463,AMEX,100000.0,801.85,99198.15,0.8,ACTIVE,2026-08-21
CARD000087,CUST000216,VISA,300000.0,87710.79,212289.21,29.24,ACTIVE,2026-07-31
CARD000088,CUST000104,RUPAY,200000.0,36798.16,163201.84,18.4,ACTIVE,2026-08-22
CARD000089,CUST000091,RUPAY,50000.0,8001.67,41998.33,16.0,ACTIVE,2026-08-01
CARD000090,CUST000206,RUPAY,100000.0,8364.01,91635.99,8.36,ACTIVE,2026-08-06
CARD000091,CUST000395,VISA,150000.0,31030.43,118969.57,20.69,ACTIVE,2026-08-19
CARD000092,CUST000356,RUPAY,50000.0,28006.41,21993.59,56.01,ACTIVE,2026-08-18
CARD000093,CUST000225,VISA,300000.0,210884.44,89115.56,70.29,EXPIRED,2026-08-23
CARD000094,CUST000166,MASTERCARD,300000.0,42207.44,257792.56,14.07,ACTIVE,2026-08-20
CARD000095,CUST000092,MASTERCARD,50000.0,3649.01,46350.99,7.3,ACTIVE,2026-08-19
CARD000096,CUST000187,RUPAY,100000.0,45461.78,54538.22,45.46,ACTIVE,2026-08-15
CARD000097,CUST000396,VISA,150000.0,64416.09,85583.91,42.94,BLOCKED,2026-08-20
CARD000098,CUST000303,MASTERCARD,300000.0,218498.85,81501.15,72.83,ACTIVE,2026-08-18
CARD000099,CUST000495,VISA,200000.0,81839.57,118160.43,40.92,BLOCKED,2026-08-17
CARD000100,CUST000329,RUPAY,50000.0,21546.66,28453.34,43.09,ACTIVE,2026-07-28
CARD000101,CUST000456,VISA,50000.0,13974.08,36025.92,27.95,ACTIVE,2026-08-04
CARD000102,CUST000057,VISA,150000.0,15156.45,134843.55,10.1,ACTIVE,2026-07-29
CARD000103,CUST000438,MASTERCARD,150000.0,68667.44,81332.56,45.78,BLOCKED,2026-08-05
CARD000104,CUST000240,VISA,100000.0,837.49,99162.51,0.84,ACTIVE,2026-07-30
CARD000105,CUST000110,RUPAY,50000.0,1669.78,48330.22,3.34,ACTIVE,2026-08-17
CARD000106,CUST000463,VISA,300000.0,160063.86,139936.14,53.35,BLOCKED,2026-08-23
CARD000107,CUST000410,VISA,200000.0,112159.14,87840.86,56.08,ACTIVE,2026-08-06
CARD000108,CUST000167,RUPAY,300000.0,90182.52,209817.48,30.06,BLOCKED,2026-08-18
CARD000109,CUST000374,MASTERCARD,300000.0,18844.56,281155.44,6.28,ACTIVE,2026-08-20
CARD000110,CUST000042,RUPAY,150000.0,40643.46,109356.54,27.1,ACTIVE,2026-07-31
CARD000111,CUST000348,RUPAY,300000.0,111118.72,188881.28,37.04,ACTIVE,2026-08-05
CARD000112,CUST000300,RUPAY,150000.0,28987.46,121012.54,19.32,ACTIVE,2026-07-27
CARD000113,CUST000484,VISA,50000.0,11877.61,38122.39,23.76,ACTIVE,2026-07-31
CARD000114,CUST000044,AMEX,150000.0,10066.21,139933.79,6.71,ACTIVE,2026-08-10
CARD000115,CUST000169,VISA,150000.0,133720.75,16279.25,89.15,EXPIRED,2026-07-31
CARD000116,CUST000091,AMEX,150000.0,142624.42,7375.58,95.08,ACTIVE,2026-08-17
CARD000117,CUST000248,VISA,150000.0,19736.95,130263.05,13.16,ACTIVE,2026-08-04
CARD000118,CUST000211,RUPAY,150000.0,32331.07,117668.93,21.55,EXPIRED,2026-08-15
CARD000119,CUST000229,MASTERCARD,150000.0,96413.22,53586.78,64.28,ACTIVE,2026-08-16
CARD000120,CUST000237,MASTERCARD,300000.0,287655.3,12344.7,95.89,ACTIVE,2026-08-20
CARD000121,CUST000352,RUPAY,500000.0,358995.67,141004.33,71.8,ACTIVE,2026-07-29
CARD000122,CUST000223,RUPAY,100000.0,24338.46,75661.54,24.34,ACTIVE,2026-08-21
CARD000123,CUST000143,VISA,500000.0,266537.01,233462.99,53.31,ACTIVE,2026-08-09
CARD000124,CUST000294,MASTERCARD,200000.0,78064.1,121935.9,39.03,ACTIVE,2026-07-28
CARD000125,CUST000321,RUPAY,150000.0,66831.18,83168.82,44.55,ACTIVE,2026-08-06
CARD000126,CUST000266,MASTERCARD,50000.0,502.35,49497.65,1.0,ACTIVE,2026-08-10
CARD000127,CUST000025,MASTERCARD,300000.0,241049.57,58950.43,80.35,ACTIVE,2026-08-07
CARD000128,CUST000331,VISA,50000.0,33327.29,16672.71,66.65,ACTIVE,2026-08-04
CARD000129,CUST000246,RUPAY,300000.0,28163.98,271836.02,9.39,BLOCKED,2026-07-30
CARD000130,CUST000217,VISA,150000.0,17900.66,132099.34,11.93,ACTIVE,2026-08-04
CARD000131,CUST000394,RUPAY,300000.0,75509.71,224490.29,25.17,ACTIVE,2026-07-31
CARD000132,CUST000486,MASTERCARD,500000.0,65042.01,434957.99,13.01,ACTIVE,2026-08-14
CARD000133,CUST000167,MASTERCARD,150000.0,20161.62,129838.38,13.44,ACTIVE,2026-08-03
CARD000134,CUST000060,VISA,300000.0,90043.57,209956.43,30.01,ACTIVE,2026-08-23
CARD000135,CUST000392,MASTERCARD,150000.0,27860.36,122139.64,18.57,ACTIVE,2026-07-30
CARD000136,CUST000409,RUPAY,500000.0,288849.0,211151.0,57.77,ACTIVE,2026-08-23
CARD000137,CUST000205,VISA,150000.0,26796.98,123203.02,17.86,ACTIVE,2026-08-23
CARD000138,CUST000104,MASTERCARD,500000.0,221220.61,278779.39,44.24,ACTIVE,2026-08-16
CARD000139,CUST000370,VISA,300000.0,287991.65,12008.35,96.0,ACTIVE,2026-08-14
CARD000140,CUST000222,RUPAY,150000.0,133069.39,16930.61,88.71,ACTIVE,2026-08-17
CARD000141,CUST000158,RUPAY,200000.0,7389.92,192610.08,3.69,ACTIVE,2026-08-12
CARD000142,CUST000201,AMEX,150000.0,112157.67,37842.33,74.77,ACTIVE,2026-08-02
CARD000143,CUST000219,RUPAY,150000.0,128109.67,21890.33,85.41,ACTIVE,2026-08-01
CARD000144,CUST000397,MASTERCARD,50000.0,49455.55,544.45,98.91,ACTIVE,2026-08-10
CARD000145,CUST000292,VISA,200000.0,41772.3,158227.7,20.89,BLOCKED,2026-08-19
CARD000146,CUST000111,VISA,150000.0,34490.56,115509.44,22.99,ACTIVE,2026-08-08
CARD000147,CUST000133,AMEX,150000.0,33143.49,116856.51,22.1,ACTIVE,2026-08-02
CARD000148,CUST000212,VISA,50000.0,33422.08,16577.92,66.84,ACTIVE,2026-08-08
CARD000149,CUST000030,MASTERCARD,300000.0,294675.88,5324.12,98.23,ACTIVE,2026-07-29
CARD000150,CUST000464,RUPAY,300000.0,150462.65,149537.35,50.15,ACTIVE,2026-08-12
CARD000151,CUST000375,RUPAY,50000.0,45299.56,4700.44,90.6,ACTIVE,2026-08-13
CARD000152,CUST000293,MASTERCARD,150000.0,101827.95,48172.05,67.89,BLOCKED,2026-08-03
CARD000153,CUST000326,AMEX,150000.0,97036.64,52963.36,64.69,ACTIVE,2026-08-21
CARD000154,CUST000441,VISA,150000.0,95266.12,54733.88,63.51,ACTIVE,2026-08-01
CARD000155,CUST000367,RUPAY,300000.0,179761.35,120238.65,59.92,ACTIVE,2026-08-03
CARD000156,CUST000255,VISA,50000.0,671.75,49328.25,1.34,ACTIVE,2026-08-22
CARD000157,CUST000411,VISA,50000.0,14063.23,35936.77,28.13,ACTIVE,2026-08-10
CARD000158,CUST000103,MASTERCARD,50000.0,3522.96,46477.04,7.05,ACTIVE,2026-08-14
CARD000159,CUST000107,AMEX,50000.0,30258.53,19741.47,60.52,ACTIVE,2026-08-17
CARD000160,CUST000435,VISA,200000.0,56105.71,143894.29,28.05,ACTIVE,2026-08-22
CARD000161,CUST000269,MASTERCARD,200000.0,57381.39,142618.61,28.69,ACTIVE,2026-08-05
CARD000162,CUST000176,AMEX,50000.0,10467.48,39532.52,20.93,ACTIVE,2026-08-11
CARD000163,CUST000484,MASTERCARD,300000.0,82640.35,217359.65,27.55,ACTIVE,2026-08-03
CARD000164,CUST000397,RUPAY,200000.0,188694.89,11305.11,94.35,BLOCKED,2026-08-19
CARD000165,CUST000483,VISA,50000.0,35592.69,14407.31,71.19,ACTIVE,2026-07-27
CARD000166,CUST000464,MASTERCARD,150000.0,134469.22,15530.78,89.65,ACTIVE,2026-08-01
CARD000167,CUST000460,AMEX,150000.0,18779.8,131220.2,12.52,ACTIVE,2026-08-20
CARD000168,CUST000145,AMEX,50000.0,45359.83,4640.17,90.72,ACTIVE,2026-08-02
CARD000169,CUST000042,AMEX,50000.0,1709.47,48290.53,3.42,ACTIVE,2026-08-20
CARD000170,CUST000250,AMEX,150000.0,91050.06,58949.94,60.7,ACTIVE,2026-08-10
CARD000171,CUST000099,RUPAY,500000.0,282462.46,217537.54,56.49,BLOCKED,2026-08-19
CARD000172,CUST000306,RUPAY,100000.0,7314.68,92685.32,7.31,ACTIVE,2026-07-30
CARD000173,CUST000274,AMEX,150000.0,29362.64,120637.36,19.58,ACTIVE,2026-08-15
CARD000174,CUST000064,MASTERCARD,500000.0,115849.67,384150.33,23.17,ACTIVE,2026-08-05
CARD000175,CUST000229,RUPAY,300000.0,77260.11,222739.89,25.75,ACTIVE,2026-08-20
CARD000176,CUST000098,RUPAY,500000.0,23701.26,476298.74,4.74,ACTIVE,2026-08-20
CARD000177,CUST000115,MASTERCARD,50000.0,1061.8,48938.2,2.12,ACTIVE,2026-08-02
CARD000178,CUST000020,VISA,100000.0,24648.44,75351.56,24.65,ACTIVE,2026-08-21
CARD000179,CUST000370,RUPAY,150000.0,79956.79,70043.21,53.3,BLOCKED,2026-08-11
CARD000180,CUST000137,AMEX,150000.0,110577.3,39422.7,73.72,ACTIVE,2026-08-19
CARD000181,CUST000347,VISA,300000.0,211428.04,88571.96,70.48,ACTIVE,2026-08-02
CARD000182,CUST000467,RUPAY,300000.0,21204.13,278795.87,7.07,BLOCKED,2026-08-11
CARD000183,CUST000349,MASTERCARD,500000.0,200752.9,299247.1,40.15,EXPIRED,2026-08-01
CARD000184,CUST000325,VISA,200000.0,166195.56,33804.44,83.1,ACTIVE,2026-08-11
CARD000185,CUST000089,MASTERCARD,200000.0,57931.97,142068.03,28.97,ACTIVE,2026-08-01
CARD000186,CUST000106,VISA,200000.0,155085.7,44914.3,77.54,ACTIVE,2026-08-07
CARD000187,CUST000125,MASTERCARD,200000.0,8603.67,191396.33,4.3,ACTIVE,2026-08-20
CARD000188,CUST000209,VISA,200000.0,193211.26,6788.74,96.61,BLOCKED,2026-08-14
CARD000189,CUST000331,VISA,200000.0,107666.61,92333.39,53.83,ACTIVE,2026-08-14
CARD000190,CUST000248,VISA,50000.0,32608.12,17391.88,65.22,ACTIVE,2026-07-27
CARD000191,CUST000476,VISA,50000.0,3773.91,46226.09,7.55,ACTIVE,2026-08-06
CARD000192,CUST000211,MASTERCARD,100000.0,3514.4,96485.6,3.51,ACTIVE,2026-08-21
CARD000193,CUST000092,VISA,100000.0,39805.99,60194.01,39.81,ACTIVE,2026-08-22
CARD000194,CUST000100,MASTERCARD,50000.0,38277.14,11722.86,76.55,ACTIVE,2026-07-31
CARD000195,CUST000490,MASTERCARD,200000.0,119993.66,80006.34,60.0,ACTIVE,2026-07-27
CARD000196,CUST000344,AMEX,200000.0,29572.32,170427.68,14.79,ACTIVE,2026-08-05
CARD000197,CUST000348,VISA,150000.0,101666.89,48333.11,67.78,ACTIVE,2026-08-10
CARD000198,CUST000319,VISA,300000.0,103225.83,196774.17,34.41,ACTIVE,2026-07-30
CARD000199,CUST000148,VISA,500000.0,370445.47,129554.53,74.09,ACTIVE,2026-08-05
CARD000200,CUST000389,VISA,200000.0,118098.74,81901.26,59.05,ACTIVE,2026-08-14
CARD000201,CUST000144,RUPAY,300000.0,76947.26,223052.74,25.65,ACTIVE,2026-08-19
CARD000202,CUST000164,VISA,300000.0,84598.86,215401.14,28.2,ACTIVE,2026-07-28
CARD000203,CUST000033,VISA,300000.0,134317.18,165682.82,44.77,ACTIVE,2026-08-05
CARD000204,CUST000175,AMEX,300000.0,28851.6,271148.4,9.62,ACTIVE,2026-08-21
CARD000205,CUST000439,VISA,150000.0,13232.33,136767.67,8.82,ACTIVE,2026-08-13
CARD000206,CUST000481,VISA,300000.0,260736.92,39263.08,86.91,ACTIVE,2026-08-06
CARD000207,CUST000155,MASTERCARD,150000.0,18986.53,131013.47,12.66,ACTIVE,2026-08-19
CARD000208,CUST000160,AMEX,300000.0,157638.31,142361.69,52.55,ACTIVE,2026-08-02
CARD000209,CUST000223,RUPAY,50000.0,41755.44,8244.56,83.51,ACTIVE,2026-08-09
CARD000210,CUST000332,VISA,50000.0,3745.56,46254.44,7.49,ACTIVE,2026-08-20
CARD000211,CUST000173,MASTERCARD,500000.0,117588.78,382411.22,23.52,ACTIVE,2026-08-07
CARD000212,CUST000105,VISA,50000.0,32856.04,17143.96,65.71,ACTIVE,2026-07-29
CARD000213,CUST000106,VISA,150000.0,39347.59,110652.41,26.23,ACTIVE,2026-08-23
CARD000214,CUST000058,RUPAY,150000.0,52438.52,97561.48,34.96,ACTIVE,2026-08-15
CARD000215,CUST000234,AMEX,100000.0,13285.72,86714.28,13.29,ACTIVE,2026-07-28
CARD000216,CUST000216,MASTERCARD,50000.0,3771.24,46228.76,7.54,ACTIVE,2026-08-11
CARD000217,CUST000481,RUPAY,200000.0,192684.53,7315.47,96.34,ACTIVE,2026-08-15
CARD000218,CUST000210,VISA,50000.0,20905.92,29094.08,41.81,ACTIVE,2026-08-07
CARD000219,CUST000158,MASTERCARD,300000.0,56623.7,243376.3,18.87,ACTIVE,2026-08-06
CARD000220,CUST000222,MASTERCARD,100000.0,10569.36,89430.64,10.57,ACTIVE,2026-08-13
CARD000221,CUST000461,VISA,200000.0,20091.94,179908.06,10.05,ACTIVE,2026-08-12
CARD000222,CUST000014,MASTERCARD,150000.0,124942.58,25057.42,83.3,ACTIVE,2026-08-16
CARD000223,CUST000476,AMEX,300000.0,22826.49,277173.51,7.61,ACTIVE,2026-08-19
CARD000224,CUST000101,VISA,150000.0,126134.17,23865.83,84.09,BLOCKED,2026-07-28
CARD000225,CUST000314,MASTERCARD,300000.0,200685.73,99314.27,66.9,ACTIVE,2026-08-20
CARD000226,CUST000341,VISA,100000.0,42688.58,57311.42,42.69,ACTIVE,2026-07-31
CARD000227,CUST000371,MASTERCARD,200000.0,29998.04,170001.96,15.0,ACTIVE,2026-08-18
CARD000228,CUST000104,MASTERCARD,200000.0,59392.03,140607.97,29.7,ACTIVE,2026-08-13
CARD000229,CUST000341,RUPAY,100000.0,9015.13,90984.87,9.02,ACTIVE,2026-07-29
CARD000230,CUST000229,VISA,300000.0,105238.17,194761.83,35.08,ACTIVE,2026-07-28
CARD000231,CUST000270,RUPAY,200000.0,128036.85,71963.15,64.02,ACTIVE,2026-08-09
CARD000232,CUST000090,AMEX,500000.0,460370.9,39629.1,92.07,ACTIVE,2026-07-29
CARD000233,CUST000154,MASTERCARD,100000.0,20582.29,79417.71,20.58,ACTIVE,2026-08-02
CARD000234,CUST000337,AMEX,300000.0,152521.98,147478.02,50.84,BLOCKED,2026-08-13
CARD000235,CUST000079,AMEX,500000.0,47942.2,452057.8,9.59,ACTIVE,2026-08-13
CARD000236,CUST000339,VISA,150000.0,120602.78,29397.22,80.4,EXPIRED,2026-08-10
CARD000237,CUST000134,VISA,100000.0,54789.04,45210.96,54.79,ACTIVE,2026-08-11
CARD000238,CUST000123,AMEX,50000.0,8020.39,41979.61,16.04,ACTIVE,2026-08-22
CARD000239,CUST000275,RUPAY,150000.0,15775.19,134224.81,10.52,ACTIVE,2026-08-14
CARD000240,CUST000081,AMEX,300000.0,38353.54,261646.46,12.78,ACTIVE,2026-08-15
CARD000241,CUST000060,MASTERCARD,200000.0,46285.22,153714.78,23.14,ACTIVE,2026-08-02
CARD000242,CUST000462,RUPAY,300000.0,256161.3,43838.7,85.39,ACTIVE,2026-07-28
CARD000243,CUST000226,RUPAY,200000.0,99754.09,100245.91,49.88,ACTIVE,2026-08-22
CARD000244,CUST000226,RUPAY,500000.0,2194.58,497805.42,0.44,ACTIVE,2026-08-17
CARD000245,CUST000150,RUPAY,150000.0,103619.87,46380.13,69.08,ACTIVE,2026-08-19
CARD000246,CUST000039,RUPAY,100000.0,94533.8,5466.2,94.53,ACTIVE,2026-08-21
CARD000247,CUST000359,MASTERCARD,100000.0,19480.38,80519.62,19.48,ACTIVE,2026-08-07
CARD000248,CUST000412,RUPAY,100000.0,52249.67,47750.33,52.25,ACTIVE,2026-08-13
CARD000249,CUST000087,VISA,150000.0,30618.99,119381.01,20.41,ACTIVE,2026-08-12
CARD000250,CUST000001,RUPAY,200000.0,22978.94,177021.06,11.49,ACTIVE,2026-08-08
CARD000251,CUST000434,VISA,50000.0,27813.41,22186.59,55.63,ACTIVE,2026-07-27
CARD000252,CUST000243,VISA,500000.0,423395.97,76604.03,84.68,EXPIRED,2026-07-29
CARD000253,CUST000409,MASTERCARD,100000.0,21638.91,78361.09,21.64,ACTIVE,2026-08-06
CARD000254,CUST000213,VISA,500000.0,443830.33,56169.67,88.77,BLOCKED,2026-08-10
CARD000255,CUST000303,RUPAY,50000.0,40704.78,9295.22,81.41,ACTIVE,2026-08-18
CARD000256,CUST000088,AMEX,50000.0,2465.03,47534.97,4.93,ACTIVE,2026-08-06
CARD000257,CUST000117,AMEX,300000.0,60853.25,239146.75,20.28,ACTIVE,2026-08-22
CARD000258,CUST000026,AMEX,50000.0,10956.24,39043.76,21.91,ACTIVE,2026-08-20
CARD000259,CUST000191,MASTERCARD,500000.0,74851.67,425148.33,14.97,ACTIVE,2026-08-10
CARD000260,CUST000207,VISA,100000.0,34208.36,65791.64,34.21,ACTIVE,2026-08-15
CARD000261,CUST000021,VISA,150000.0,35672.87,114327.13,23.78,ACTIVE,2026-08-10
CARD000262,CUST000415,MASTERCARD,300000.0,102476.79,197523.21,34.16,ACTIVE,2026-08-21
CARD000263,CUST000085,VISA,300000.0,71301.27,228698.73,23.77,EXPIRED,2026-08-18
CARD000264,CUST000247,VISA,300000.0,12050.99,287949.01,4.02,ACTIVE,2026-08-09
CARD000265,CUST000350,VISA,100000.0,56376.89,43623.11,56.38,ACTIVE,2026-07-27
CARD000266,CUST000046,VISA,200000.0,129277.05,70722.95,64.64,ACTIVE,2026-08-12
CARD000267,CUST000364,MASTERCARD,500000.0,146915.7,353084.3,29.38,ACTIVE,2026-08-15
CARD000268,CUST000219,VISA,50000.0,27945.71,22054.29,55.89,ACTIVE,2026-08-09
CARD000269,CUST000104,VISA,100000.0,27993.24,72006.76,27.99,ACTIVE,2026-08-03
CARD000270,CUST000008,MASTERCARD,150000.0,28451.55,121548.45,18.97,ACTIVE,2026-08-04
CARD000271,CUST000243,VISA,300000.0,151829.89,148170.11,50.61,ACTIVE,2026-08-09
CARD000272,CUST000353,RUPAY,300000.0,245295.47,54704.53,81.77,ACTIVE,2026-08-05
CARD000273,CUST000190,MASTERCARD,300000.0,162797.92,137202.08,54.27,BLOCKED,2026-08-13
CARD000274,CUST000174,MASTERCARD,500000.0,13664.89,486335.11,2.73,BLOCKED,2026-08-03
